"SUID","shared name","id","name","selected","AverageShortestPathLength","ClusteringCoefficient","ClosenessCentrality","IsSingleNode","PartnerOfMultiEdgedNodePairs","SelfLoops","Eccentricity","Stress","Degree","BetweennessCentrality","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Radiality","TopologicalCoefficient"
2982,"8","8","8",FALSE,2.05555555555556,0.466666666666667,0.486486486486487,FALSE,0,0,4,120,6,0.138151119033472,4.83333333333333,0,6,0.824074074074074,0.402777777777778
2985,"1","1","1",FALSE,2.22222222222222,0.666666666666667,0.45,FALSE,0,0,4,64,4,0.051832045949693,5,0,4,0.796296296296296,0.454545454545455
2988,"11","11","11",FALSE,2.05555555555556,0.4,0.486486486486487,FALSE,0,0,4,108,5,0.107060804119628,4.6,0,5,0.824074074074074,0.366666666666667
2991,"6","6","6",FALSE,2,0.166666666666667,0.5,FALSE,0,0,3,136,4,0.222484650425827,4.5,0,4,0.833333333333333,0.333333333333333
2994,"7","7","7",FALSE,2.5,0.833333333333333,0.4,FALSE,0,0,4,14,4,0.00826896415131709,5.25,0,4,0.75,0.583333333333333
2997,"3","3","3",FALSE,2.72222222222222,0.666666666666667,0.36734693877551,FALSE,0,0,5,8,4,0.0100217864923747,4.25,0,4,0.712962962962963,0.607142857142857
3000,"4","4","4",FALSE,2.61111111111111,0.5,0.382978723404255,FALSE,0,0,4,36,4,0.0300059417706476,3.75,0,4,0.731481481481482,0.46875
3003,"5","5","5",FALSE,2.38888888888889,0.5,0.418604651162791,FALSE,0,0,4,58,4,0.0598039215686275,3.5,0,4,0.768518518518518,0.4375
3006,"2","2","2",FALSE,2.11111111111111,0.166666666666667,0.473684210526316,FALSE,0,0,4,124,4,0.164374133491781,4.25,0,4,0.814814814814815,0.340909090909091
3009,"16","16","16",FALSE,2.38888888888889,0.333333333333333,0.418604651162791,FALSE,0,0,4,62,4,0.0757526242820361,3.75,0,4,0.768518518518518,0.388888888888889
3012,"17","17","17",FALSE,2.38888888888889,0.5,0.418604651162791,FALSE,0,0,4,58,4,0.0598039215686275,3.5,0,4,0.768518518518518,0.4375
3015,"14","14","14",FALSE,2.33333333333333,0.6,0.428571428571429,FALSE,0,0,4,54,5,0.0526440879382056,5,0,5,0.777777777777778,0.5
3018,"13","13","13",FALSE,2.88888888888889,0.666666666666667,0.346153846153846,FALSE,0,0,5,14,3,0.00980392156862745,4,0,3,0.685185185185185,0.571428571428571
3021,"10","10","10",FALSE,2.94444444444444,1,0.339622641509434,FALSE,0,0,5,0,2,0,5,0,2,0.675925925925926,0.833333333333333
3024,"12","12","12",FALSE,2,0.4,0.5,FALSE,0,0,3,126,5,0.149059219647455,4.8,0,5,0.833333333333333,0.383333333333333
3027,"20","20","20",FALSE,2.05555555555556,0.166666666666667,0.486486486486487,FALSE,0,0,3,100,4,0.134576153693801,4.25,0,4,0.824074074074074,0.340909090909091
3030,"18","18","18",FALSE,2.05555555555556,0.4,0.486486486486487,FALSE,0,0,4,130,6,0.220731828084769,4.16666666666667,0,6,0.824074074074074,0.363636363636364
3033,"15","15","15",FALSE,2.66666666666667,0.333333333333333,0.375,FALSE,0,0,5,76,4,0.0742523271935037,4,0,4,0.722222222222222,0.5
3036,"19","19","19",FALSE,3.27777777777778,1,0.305084745762712,FALSE,0,0,5,0,2,0,4,0,2,0.62037037037037,1
